,aggregated.scientific_name.i.,unique_class,unique_order,unique_family,unique_loc,DOI_count,unique_year,unique_name,unique_level,Pollinating evidence/reference,Pollinating confidence
987,Varroa,Arachnida,Mesostigmata,Varroidae,"2-s2.0-78249286847, 2-s2.0-85038941537, 2-s2.0-85026312620, 2-s2.0-85020000032, 2-s2.0-84952683762, 2-s2.0-84942985929, 2-s2.0-84923884774, 2-s2.0-84930068130, 2-s2.0-84973484051, 2-s2.0-84927510397, 2-s2.0-84943586531, 2-s2.0-84912571006, 2-s2.0-84907511975, 2-s2.0-84898493291, 2-s2.0-84883769005, 2-s2.0-84859613299, 2-s2.0-79961228944, 2-s2.0-78649555417, 2-s2.0-45449103840, 2-s2.0-0034877359, 2-s2.0-84868682035, 2-s2.0-85040631532, 2-s2.0-85041626487, 2-s2.0-84995640098, 2-s2.0-84988329910, 2-s2.0-84994575913, 2-s2.0-84985963201, 2-s2.0-84990947012, 2-s2.0-84951762004, 2-s2.0-84938097481, 2-s2.0-84878828482, 2-s2.0-84859615961, 2-s2.0-84856747256, 2-s2.0-80054091091, 2-s2.0-79958056693, 2-s2.0-79251517091, 2-s2.0-77951148059, 2-s2.0-70349902090, 2-s2.0-38449090327, 2-s2.0-0036967880",40,"2010, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2008, 2001, 2018, 2009, 2007, 2002","New Zealand, Lucerne, , Federative Republic of Brazil, São Paulo, United States, Kingdom of Belgium, Flanders, Lake Sinai, Little Indian Sioux River, Commonwealth of Australia, Queens, Republic of Turkey, Europe, Africa, Playa de las Américas, Russian Federation, Montana, Acari, Canada, Newfoundland and Labrador, Primorskiy Rayon, Republic of Iraq, Asia, People’s Republic of China, ‘Aslan, Federal Republic of Germany, Hellenic Republic, Mediterranean, North America, Mexico","1a, 2b",N,
971,Tropidurus,Reptilia,Squamata,Tropiduridae,2-s2.0-84897593737,1,2014,,"1a, 2b",Y,2
441,Helicoverpa,Insecta,Lepidoptera,Noctuidae,"2-s2.0-38649093929, 2-s2.0-84946771505, 2-s2.0-0034537249, 2-s2.0-84973131000, 2-s2.0-84875902046, 2-s2.0-84868094770, 2-s2.0-80053971345, 2-s2.0-0742305443, 2-s2.0-0036270093, 2-s2.0-0036597441, 2-s2.0-84982129754, 2-s2.0-84945117179, 2-s2.0-84904314934, 2-s2.0-20644467050, 2-s2.0-84983559895, 2-s2.0-84983486420, 2-s2.0-84952668308, 2-s2.0-84914680434, 2-s2.0-84887385223, 2-s2.0-79960375465, 2-s2.0-45849094757, 2-s2.0-33947705659, 2-s2.0-0000923658, 2-s2.0-23644443681",24,"2007, 2015, 2000, 2013, 2012, 2011, 2003, 2002, 2016, 2014, 2005, 2008, 1997, 1996",", Republic of Benin, Pelebina, United States, Minnesota, Rosemount, Maine, Massachusetts, Hellenic Republic, Mediterranean, Washington, D.C., Mexico, La Petunia, New England","1a, 2b",N,
319,Drosophila,Insecta,Diptera,Drosophilidae,"2-s2.0-84889957105, 2-s2.0-33748118463, 2-s2.0-33748094621, 2-s2.0-85036584961, 2-s2.0-85032711549, 2-s2.0-79951676659, 2-s2.0-85041994748, 2-s2.0-84983760392, 2-s2.0-85021818863, 2-s2.0-84925882986, 2-s2.0-84859323247, 2-s2.0-78049267246, 2-s2.0-53749102432, 2-s2.0-84996408585, 2-s2.0-84940841134, 2-s2.0-67049155647",16,"2013, 2006, 2018, 2017, 2011, 2016, 2014, 2012, 2010, 2008, 1985, 2015, 2009",", People’s Republic of China, Republic of Costa Rica, United States, Republic of Lithuania, Mesa","1a, 1a-syn, 2b",N,
522,Linepithema,Insecta,Hymenoptera,Formicidae,"2-s2.0-23944501059, 2-s2.0-85007508408, 2-s2.0-0026499624, 2-s2.0-85042687224, 2-s2.0-85042475265, 2-s2.0-84979536549, 2-s2.0-84930846506, 2-s2.0-84928902761, 2-s2.0-84891901184, 2-s2.0-84875506553, 2-s2.0-38849159272, 2-s2.0-35148878324, 2-s2.0-33750459337, 2-s2.0-22544465304",14,"2005, 2016, 1992, 2018, 2015, 2014, 2013, 2008, 2007, 2006",", United States, Hawaii, Maui County, Portuguese Republic, Madeira, California, Santa Cruz Island Airport (Abandoned), Republic of South Africa, Cape Floristic Region","1a, 2b, 1a-syn, 2b-syn",N,
170,Camponotus,Insecta,Hymenoptera,Formicidae,"2-s2.0-84875506553, 2-s2.0-33750459337, 2-s2.0-38349184514, 2-s2.0-0038145310, 2-s2.0-84866296238, 2-s2.0-84949536880, 2-s2.0-84555188916, 2-s2.0-33645113432, 2-s2.0-17544393602, 2-s2.0-84897430362, 2-s2.0-0024911918, 2-s2.0-85038088016, 2-s2.0-1842562108",13,"2013, 2006, 2008, 1997, 2010, 2015, 2012, 2000, 2014, 1989, 2018, 2003",", Republic of Cameroon, Argentine Republic, Mexico, Estado de Yucatán","1a, 2b, 2b-syn",N,
663,Oecophylla,Insecta,Hymenoptera,Formicidae,"2-s2.0-84930933291, 2-s2.0-67349231973, 2-s2.0-85016412195, 2-s2.0-84929453258, 2-s2.0-84907700316, 2-s2.0-84906313111, 2-s2.0-84885086428, 2-s2.0-84879605155, 2-s2.0-84871481287, 2-s2.0-73649123826, 2-s2.0-10344253317",11,"2015, 2009, 2017, 2014, 2013, 2010, 2004",", People’s Republic of China, Malaysia, Teluk Intan, Republic of Indonesia, Brunei Darussalam, Borneo, United States, Sumatra, Sungai Minangkabau","1a, 2b",N,
881,Solenopsis,Insecta,Hymenoptera,Formicidae,"2-s2.0-85003451730, 2-s2.0-84975745585, 2-s2.0-84955584095, 2-s2.0-84926653130, 2-s2.0-33847167409, 2-s2.0-33646140292, 2-s2.0-85017460868, 2-s2.0-85009769688, 2-s2.0-85028260553, 2-s2.0-84946045893, 2-s2.0-84856586611",11,"2016, 2015, 2014, 2007, 2006, 2017, 2012","Martinique, French West Indies, , United States, Utah, Commonwealth of Australia, Cape Latreille, Federative Republic of Brazil","1a, 2b",N,
647,Niveoscincus,Reptilia,Squamata,Scincidae,"2-s2.0-79951520395, 2-s2.0-0033787329",2,"2011, 2000","Commonwealth of Australia, Mount Wellington, State of Tasmania",1a,Y,3
525,Liopholis,Reptilia,Squamata,Scincidae,2-s2.0-79951520395,1,2011,Commonwealth of Australia,1a-syn,Y,3
