,class,order,family,species,scraped,prop,family_checked,extrapolated
27,Aves,Passeriformes,Coerebidae,1,1,1,Y,N
83,Aves,Passeriformes,Notiomystidae,1,1,1,Y,N
103,Mammalia,Scandentia,Ptilocercidae,1,1,1,Y,N
127,Mammalia,Diprotodontia,Tarsipedidae,1,1,1,Y,N
2,Mammalia,Diprotodontia,Acrobatidae,2,1,0.5,Y,Y
16,Insecta,Coleoptera,Cantharidae,2,1,0.5,Y,Y
78,Mammalia,Chiroptera,Mystacinidae,2,2,1,Y,N
99,Aves,Passeriformes,Promeropidae,2,1,0.5,Y,N
13,Mammalia,Diprotodontia,Burramyidae,5,3,0.6,Y,Y
130,Aves,Charadriiformes,Thinocoridae,5,1,0.2,Y,Y
90,Mammalia,Diprotodontia,Petauridae,11,3,0.272727273,Y,Y
65,Mammalia,Macroscelidea,Macroscelididae,15,2,0.133333333,Y,N
62,Mammalia,Primates,Lemuridae,21,2,0.095238095,Y,Y
104,Aves,Passeriformes,Ptilonorhynchidae,21,1,0.047619048,Y,N
9,Mammalia,Primates,Atelidae,23,1,0.043478261,Y,Y
91,Mammalia,Diprotodontia,Phalangeridae,27,1,0.037037037,Y,Y
98,Insecta,Lepidoptera,Prodoxidae,31,3,0.096774194,Y,Y
53,Mammalia,Carnivora,Herpestidae,33,1,0.03030303,Y,N
22,Mammalia,Primates,Cheirogaleidae,36,2,0.055555556,Y,Y
85,Aves,Passeriformes,Oriolidae,36,2,0.055555556,Y,Y
15,Mammalia,Primates,Callitrichidae,47,3,0.063829787,Y,Y
88,Aves,Passeriformes,Passeridae,50,2,0.04,Y,Y
75,Mammalia,Carnivora,Mustelidae,59,2,0.033898305,Y,N
139,Aves,Passeriformes,Vireonidae,63,1,0.015873016,Y,N
89,Aves,Passeriformes,Pellorneidae,70,1,0.014285714,Y,N
121,Aves,Passeriformes,Sylviidae,71,13,0.183098592,Y,Y
34,Mammalia,Dasyuromorphia,Dasyuridae,73,4,0.054794521,Y,N
93,Aves,Passeriformes,Phylloscopidae,77,2,0.025974026,Y,Y
35,Mammalia,Didelphimorphia,Didelphidae,86,2,0.023255814,Y,Y
126,Malacostraca,Amphipoda,Talitridae,87,1,0.011494253,Y,Y
42,Insecta,Coleoptera,Erotylidae,98,2,0.020408163,Y,Y
57,Aves,Passeriformes,Icteridae,98,16,0.163265306,Y,Y
96,Aves,Passeriformes,Ploceidae,109,4,0.036697248,Y,Y
125,Insecta,Plecoptera,Taeniopterygidae,115,1,0.008695652,Y,N
87,Aves,Passeriformes,Parulidae,121,3,0.024793388,Y,N
120,Aves,Passeriformes,Sturnidae,125,2,0.016,Y,Y
134,Reptilia,Squamata,Tropiduridae,128,1,0.0078125,Y,N
140,Aves,Passeriformes,Zosteropidae,128,34,0.265625,Y,Y
61,Aves,Passeriformes,Leiothrichidae,133,2,0.015037594,Y,N
79,Aves,Passeriformes,Nectariniidae,144,56,0.388888889,Y,Y
105,Aves,Passeriformes,Pycnonotidae,151,13,0.086092715,Y,N
24,Aves,Passeriformes,Cisticolidae,159,2,0.012578616,Y,Y
20,Mammalia,Primates,Cercopithecidae,160,2,0.0125,Y,N
135,Aves,Passeriformes,Turdidae,171,5,0.029239766,Y,N
68,Aves,Passeriformes,Meliphagidae,172,17,0.098837209,Y,Y
108,Insecta,Diptera,Rhinophoridae,174,1,0.005747126,Y,N
