class,order,family,clade,clade_rank,confidence,additional_citations
Mammalia,Diprotodontia,Acrobatidae,Acrobatidae,family,5.2,
Insecta,Coleoptera,Cantharidae,Chauliognathinae,subfamily,5.4,"The Book of Beetles, Bouchard (2014)"
Mammalia,Diprotodontia,Burramyidae,Burramyidae,family,5.3,"Susceptibility to climate change via effects on food resources: the feeding ecology of the endangered mountain pygmy-possum (Burramys parvus), Gibson (2018)"
Aves,Charadriiformes,Thinocoridae,Thinocoridae,family,5.3,
Mammalia,Diprotodontia,Petauridae,Gymnobelideus,genus,3,"Diet of Leadbeaters Possum, Gymnobelideus Leadbeateri, Smith (1984); The feeding ecology of the striped possum Dactylopsila trivirgata (Marsupialia: Petauridae) in far north Queensland, Australia, Rawlins (2002)"
Mammalia,Primates,Lemuridae,Varecia,genus,3,"Primate Ecology and Social Structure. Vol. 1: Lorises, Lemurs, and Tarsiers, Sussman (2003)"
Mammalia,Primates,Atelidae,Atelidae,family,5.3,"Exploitation of Mabea fistulifera nectar by marmosets (Callithrix flaviceps) and muriquis (Brachyteles arachnoides) in south-east Brazil, Ferrari (1992); Diet and Feeding Ecology of Gray Woolly Monkeys (Lagothrix lagotricha cana) in Central Amazonia: Comparisons with Other Atelines, Peres (1994); Nectar Feeding on an Exotic Tree (Grevillea robusta) by Alouatta caraya and Its Possible Role in Flower Pollination, Pave (2009); Diet in One Group of Woolly Spider Monkeys, or Muriquis (Brachyteles arachnoides), Strier (1991)"
Mammalia,Diprotodontia,Phalangeridae,Ailurops,genus,3,"Grzimek’s Animal Life Encyclopedia, Second Edition Volume 13: Mammals II; the Biology of Australian Possums and Gliders, Goldingay (2004)"
Insecta,Lepidoptera,Prodoxidae,Parategeticula,genus,1,"How to become a yucca moth: Minimal trait evolution needed to establish the obligate pollination mutualism, Yoder (2011); Yuccas, Yucca Moths, and Coevolution: A Review, Pellmyr (2003)"
Mammalia,Carnivora,Cheirogaleidae,Cheirogaleidae,family,5.3,"Grzimek’s Animal Life Encyclopedia, Second Edition Volume 13: Mammals III; Rediscovery of Allocebus trichotis Günther 1875 (Primates) in Northeast Madagascar, Meier (1991)"
Aves,Passeriformes,Oriolidae,Oriolidae,family,5.3,"A test of pollinator specificity and morphological convergence between nectarivorous birds and rainforest tree flowers in New Guinea, Brown (1995); Birds and Nectar in a Monsoonal Woodland: Correlations at Three Spatio-temporal Scales, Franklin (1999)"
Mammalia,Primates,Callitrichidae,Callitrichidae,family,5.3,"Grzimek’s Animal Life Encyclopedia, Second Edition Volume 12: Mammals I"
Aves,Passeriformes,Passeridae,Petronia,genus,3,"Avian nectarivory and pollination in Aloe marlothii Berger: interactions between bird communities and a winter-flowering succulent, Symes (2008)"
Aves,Passeriformes,Sylviidae,Myzornis,genus,3,Grzimek’s Animal Life Encyclopedia Volume 10: Birds III
Mammalia,Didelphimorphia,Didelphidae,Philander,genus,3,"Grzimek’s Animal Life Encyclopedia, Second Edition Volume 12: Mammals I"
Malacostraca,Amphipoda,Talitridae,Platorchestia,genus,2,"Convallariaceae, Conran (1998)"
Insecta,Coleoptera,Erotylidae,Crowsonguptus ,genus,3,"Multistate Characters and Diet Shifts: Evolution of Erotylidae (Coleoptera), Leschen (2007)"
Insecta,Coleoptera,Erotylidae,Loberonotha ,genus,3,"Multistate Characters and Diet Shifts: Evolution of Erotylidae (Coleoptera), Leschen (2007)"
Insecta,Coleoptera,Erotylidae,Macrophagus ,genus,3,"Multistate Characters and Diet Shifts: Evolution of Erotylidae (Coleoptera), Leschen (2007)"
Insecta,Coleoptera,Erotylidae,Paracladoxena,genus,3,"Multistate Characters and Diet Shifts: Evolution of Erotylidae (Coleoptera), Leschen (2007)"
Insecta,Coleoptera,Erotylidae,Othniocryptus ,genus,3,"Multistate Characters and Diet Shifts: Evolution of Erotylidae (Coleoptera), Leschen (2007)"
Aves,Passeriformes,Icteridae,Dives,genus,3,Grzimek’s Animal Life Encyclopedia Volume 10: Birds III
Aves,Passeriformes,Ploceidae,Euplectes ,genus,3,"Response of avian nectarivores to the flowering of Aloe marlothii: a nectar oasis during dry South African winters, Symes (2008)"
Aves,Passeriformes,Sturnidae,Aplonis,genus,3,Grzimek’s Animal Life Encyclopedia Volume 11: Birds IV
Aves,Passeriformes,Sturnidae,Saroglossa,genus,3,Grzimek’s Animal Life Encyclopedia Volume 11: Birds IV
Aves,Passeriformes,Sturnidae,Gracula,genus,3,Grzimek’s Animal Life Encyclopedia Volume 11: Birds IV
Aves,Passeriformes,Zosteropidae,Zosteropidae,family,5.3,Grzimek’s Animal Life Encyclopedia Volume 11: Birds IV
Aves,Passeriformes,Nectariniidae,Nectariniidae,family,5.2,Grzimek’s Animal Life Encyclopedia Volume 11: Birds IV
