class,order,family,clade,clade_rank,confidence,additional_citations
Insecta,Coleoptera,Buprestidae,Buprestidae,family,5.3,"American Beetles vol 2: Polyphaga: Scarabaeoidea through Curculionoidea, (2002); How many species of arthropods visit flowers? Wardhaugh (2015)"
Insecta,Coleoptera,Mordellidae,Mordellidae,family,5.3,"American Beetles vol 2: Polyphaga: Scarabaeoidea through Curculionoidea, (2002); How many species of arthropods visit flowers? Wardhaugh (2015)"
Insecta,Coleoptera,Oedemeridae,Oedemeridae,family,5.4,"American Beetles vol 2: Polyphaga: Scarabaeoidea through Curculionoidea, (2002); How many species of arthropods visit flowers? Wardhaugh (2015)"
Insecta,Coleoptera,Meloidae,Meloidae,family,5.4,"American Beetles vol 2: Polyphaga: Scarabaeoidea through Curculionoidea, (2002); How many species of arthropods visit flowers? Wardhaugh (2015)"
Insecta,Coleoptera,Scraptiidae,Scraptiidae,family,5.4,"American Beetles vol 2: Polyphaga: Scarabaeoidea through Curculionoidea, (2002); How many species of arthropods visit flowers? Wardhaugh (2015)"
Insecta,Coleoptera,Nemonychidae,Nemonychidae,family,5.3,"American Beetles vol 2: Polyphaga: Scarabaeoidea through Curculionoidea, (2002); How many species of arthropods visit flowers? Wardhaugh (2015)"
Insecta,Coleoptera,Belidae,Belidae,family,5.4,"American Beetles vol 2: Polyphaga: Scarabaeoidea through Curculionoidea, (2002); How many species of arthropods visit flowers? Wardhaugh (2015)"
Insecta,Diptera,Vermileonidae,Vermileonidae,family,5.3,How many species of arthropods visit flowers? Wardhaugh (2015)
Insecta,Diptera,Mydidae,Mydidae,family,5.3,"How many species of arthropods visit flowers? Wardhaugh (2015); Flies and flowers: Taxonomic diversity of anthophiles and pollinators, Larson (2001)"
Insecta,Diptera,Phoridae,Phoridae,family,5.3,"How many species of arthropods visit flowers? Wardhaugh (2015); Flies and flowers: Taxonomic diversity of anthophiles and pollinators, Larson (2001)"
Insecta,Diptera,Conopidae,Conopidae,family,5.3,"How many species of arthropods visit flowers? Wardhaugh (2015); Flies and flowers: Taxonomic diversity of anthophiles and pollinators, Larson (2001)"
Insecta,Coleoptera,Elateridae,Elateridae,family,5.3,"American Beetles vol 2: Polyphaga: Scarabaeoidea through Curculionoidea, (2002); How many species of arthropods visit flowers? Wardhaugh (2015)"
Insecta,Coleoptera,Lycidae,Lycidae,family,5.3,"American Beetles vol 2: Polyphaga: Scarabaeoidea through Curculionoidea, (2002); How many species of arthropods visit flowers? Wardhaugh (2015)"
Insecta,Coleoptera,Melyridae,Melyridae,family,5.3,"American Beetles vol 2: Polyphaga: Scarabaeoidea through Curculionoidea, (2002); How many species of arthropods visit flowers? Wardhaugh (2015)"
Insecta,Coleoptera,Mycetophagidae,Berginus,genus,3,"American Beetles vol 2: Polyphaga: Scarabaeoidea through Curculionoidea, (2002); How many species of arthropods visit flowers? Wardhaugh (2015)"
Insecta,Coleoptera,Anthicidae,Anthicidae,family,5.4,"American Beetles vol 2: Polyphaga: Scarabaeoidea through Curculionoidea, (2002); How many species of arthropods visit flowers? Wardhaugh (2015)"
Insecta,Diptera,Mycetophilidae,Mycetophilidae,family,5.4,"How many species of arthropods visit flowers? Wardhaugh (2015); Flies and flowers: Taxonomic diversity of anthophiles and pollinators, Larson (2001)"
Insecta,Diptera,Chloropidae,Chloropidae,family,5.4,"How many species of arthropods visit flowers? Wardhaugh (2015); Flies and flowers: Taxonomic diversity of anthophiles and pollinators, Larson (2001)"
Insecta,Diptera,Heleomyzidae,Suillia,genus,3,"How many species of arthropods visit flowers? Wardhaugh (2015); Flies and flowers: Taxonomic diversity of anthophiles and pollinators, Larson (2001)"
Insecta,Hymenoptera,Stenotritidae ,Stenotritidae ,family,5.3,"The Bees of the World, Michener (2000); correspondence with Michael Kulhmann"
