class,order,family,clade,clade_rank,genus,confidence
Insecta,Coleoptera,Cerambycidae,Lepturini,tribe,Acmaeops,5.3
Insecta,Coleoptera,Cerambycidae,Lepturini,tribe,Acmaeopsoides,5.3
Insecta,Diptera,Syrphidae,Syrphinae,subfamily,Afrosyrphus,5.2
Insecta,Hymenoptera,Agaonidae,Agaoninae,subfamily,Agaon,5.1
Insecta,Diptera,Syrphidae,Syrphinae,subfamily,Agnisyrphus,5.2
Aves,Passeriformes,Fringillidae,Hemignathini,tribe,Aidemedia,5.3
Aves,Passeriformes,Fringillidae,Hemignathini,tribe,Akialoa,5.3
Insecta,Hymenoptera,Agaonidae,Agaoninae,subfamily,Alfonsiella,5.1
Insecta,Diptera,Syrphidae,Eristalinae,subfamily,Alipumilio,5.2
Insecta,Diptera,Syrphidae,Syrphinae,subfamily,Allobacha,5.2
Insecta,Diptera,Syrphidae,Syrphinae,subfamily,Allograpta,5.2
Insecta,Coleoptera,Cleridae,Clerinae,subfamily,Allonyx,5.3
Insecta,Hymenoptera,Agaonidae,Agaoninae,subfamily,Allotriozoon,5.1
Insecta,Coleoptera,Cerambycidae,Lepturini,tribe,Alosternida,5.3
Insecta,Coleoptera,Cerambycidae,Lepturini,tribe,Analeptura,5.3
Insecta,Diptera,Syrphidae,Eristalinae,subfamily,Anasimyia,5.2
Insecta,Coleoptera,Cerambycidae,Lepturini,tribe,Anastrangalia,5.3
Insecta,Diptera,Syrphidae,Eristalinae,subfamily,Aneriophora,5.2
Insecta,Coleoptera,Scarabaeidae,Hopliini,tribe,Anisonyx,5.3
Insecta,Coleoptera,Cerambycidae,Lepturini,tribe,Anoplodera,5.3
Mammalia,Chiroptera,Phyllostomidae,Glossophaginae,subfamily,Anoura,5.2
Insecta,Coleoptera,Cerambycidae,Lepturini,tribe,Anthophylax,5.3
Insecta,Diptera,Syrphidae,Syrphinae,subfamily,Anu,5.2
Insecta,Diptera,Tabanidae,Pangoniinae,subfamily,Apatolestes,5.3
Insecta,Coleoptera,Cleridae,Clerinae,subfamily,Aphelocerus,5.3
Insecta,Coleoptera,Cleridae,Clerinae,subfamily,Aphelochroa,5.3
Insecta,Diptera,Syrphidae,Eristalinae,subfamily,Arctophila,5.2
Insecta,Diptera,Syrphidae,Syrphinae,subfamily,Argentinomyia,5.2
Insecta,Diptera,Tabanidae,Pangoniinae,subfamily,Asaphomyia,5.3
Insecta,Diptera,Syrphidae,Syrphinae,subfamily,Asarkina,5.2
Insecta,Diptera,Syrphidae,Syrphinae,subfamily,Asiodidea,5.2
Insecta,Coleoptera,Cleridae,Clerinae,subfamily,Aulicus,5.3
Insecta,Diptera,Syrphidae,Eristalinae,subfamily,Austalis,5.2
Insecta,Diptera,Syrphidae,Eristalinae,subfamily,Austroascia,5.2
Insecta,Diptera,Syrphidae,Eristalinae,subfamily,Austrocheilosia,5.2
Insecta,Diptera,Syrphidae,Eristalinae,subfamily,Austrophilus,5.2
Insecta,Diptera,Syrphidae,Eristalinae,subfamily,Axona,5.2
Insecta,Diptera,Syrphidae,Eristalinae,subfamily,Azpeytia,5.2
Insecta,Diptera,Syrphidae,Syrphinae,subfamily,Baccha,5.2
Insecta,Coleoptera,Cleridae,Clerinae,subfamily,Balcus,5.3
Insecta,Coleoptera,Cerambycidae,Lepturini,tribe,Bellamira,5.3
Insecta,Coleoptera,Cantharidae,Chauliognathinae,subfamily,Belotus,5.4
Insecta,Diptera,Syrphidae,Syrphinae,subfamily,Betasyrphus,5.2
Insecta,Hymenoptera,Agaonidae,Agaoninae,subfamily,Blastophaga,5.1
Insecta,Diptera,Syrphidae,Eristalinae,subfamily,Blera,5.2
Insecta,Coleoptera,Cerambycidae,Lepturini,tribe,Brachyleptura,5.3
Insecta,Diptera,Syrphidae,Eristalinae,subfamily,Brachyopa,5.2
Insecta,Diptera,Syrphidae,Eristalinae,subfamily,Brachypalpus,5.2
Insecta,Coleoptera,Cerambycidae,Lepturini,tribe,Brachysomida,5.3
Insecta,Diptera,Tabanidae,Pangoniinae,subfamily,Brennania,5.3
Insecta,Diptera,Syrphidae,Eristalinae,subfamily,Cacoceria,5.2
Insecta,Coleoptera,Cleridae,Clerinae,subfamily,Calendyma,5.3
Insecta,Diptera,Syrphidae,Eristalinae,subfamily,Caliprobola,5.2
Insecta,Diptera,Syrphidae,Eristalinae,subfamily,Callicera,5.2
Insecta,Coleoptera,Cleridae,Clerinae,subfamily,Caridopus,5.3
Insecta,Coleoptera,Cerambycidae,Lepturini,tribe,Centrodera,5.3
Insecta,Hymenoptera,Agaonidae,Kradibiinae,subfamily,Ceratosolen,5.1
Insecta,Diptera,Syrphidae,Eristalinae,subfamily,Ceriana,5.2
Aves,Psittaciformes,Psittacidae,Loriini,tribe,Chalcopsitta,5.3
Insecta,Diptera,Syrphidae,Eristalinae,subfamily,Chalcosyrphus,5.2
Insecta,Diptera,Syrphidae,Eristalinae,subfamily,Chamaesphegina,5.2
Insecta,Diptera,Syrphidae,Eristalinae,subfamily,Chamaesyrphus,5.2
Insecta,Coleoptera,Cerambycidae,Lepturini,tribe,Charisalia,5.3
Aves,Psittaciformes,Psittacidae,Loriini,tribe,Charmosyna,5.3
Insecta,Diptera,Syrphidae,Eristalinae,subfamily,Chasmomma,5.2
Insecta,Coleoptera,Cantharidae,Chauliognathinae,subfamily,Chauliognathus,5.4
Insecta,Diptera,Syrphidae,Eristalinae,subfamily,Cheilosia,5.2
Aves,Passeriformes,Fringillidae,Hemignathini,tribe,Chlorodrepanis,5.3
Mammalia,Chiroptera,Phyllostomidae,Glossophaginae,subfamily,Choeroniscus,5.2
Mammalia,Chiroptera,Phyllostomidae,Glossophaginae,subfamily,Choeronycteris,5.2
Insecta,Coleoptera,Cerambycidae,Lepturini,tribe,Choriolaus,5.3
